Run Id	L4C5		Run Id	L5C3		Run Id	L6C3		Run Id			
Device	3975f2-cap		Device	3975f5-cap		Device	3975f8-cap		Device	Ref GaAs		
Curve	Illuminated IV1		Curve	Illuminated IV17		Curve	Illuminated IV17		Curve	Illuminated IV1		
Size [cm2]	0.0483		Size [cm2]	0.0483		Size [cm2]	0.0483		Size [cm2]	4		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	GaAs		Material	GaAs		Material	GaAs		Material	GaAs		
Date	03/02/2020		Date	03/02/2020		Date	03/02/2020		Date	03/02/2020		
Time	16:17:46		Time	17:40:59		Time	18:02:24		Time	16:11:00		
Temperature Corrected	yes		Temperature Corrected	yes		Temperature Corrected	yes		Temperature Corrected	yes		
Irradiance [W/m2]	998.034634146342		Irradiance [W/m2]	998.034634146342		Irradiance [W/m2]	998.034634146342		Irradiance [W/m2]	998.034634146342		
Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		Irradiance Corrected	yes		
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-0.09994364	0.000883137817874162	-8.82640081400008E-05	-0.09993839	0.00084598546774434	-8.45464256097663E-05	-0.0999403	0.000827642425591886	-8.27148323063808E-05	-0.07651258	0.102581422159825	-0.00784876926951738	
-0.09248257	0.000882819817874162	-8.16454456039345E-05	-0.09248328	0.00084580576774434	-7.82228916439148E-05	-0.09258389	0.000827923225591886	-7.66523528466444E-05	-0.07181549	0.102616722159825	-0.00736947018410168	
-0.08506594	0.000883026857874162	-7.5115509710312E-05	-0.08506589	0.00084642798774434	-7.20021500983814E-05	-0.085209276	0.000827439205591886	-7.05054956424998E-05	-0.067110348	0.102615362159825	-0.00688655266469188	
-0.077621034	0.000883143137874162	-6.8550483531797E-05	-0.077622748	0.00084635758774434	-6.56966017513668E-05	-0.077839996	0.000827472025591886	-6.44104191621843E-05	-0.062366532	0.102626622159825	-0.00640046651498263	
-0.070190766	0.000883406917874162	-6.20070082552865E-05	-0.070193292	0.00084613774774434	-5.93931939996408E-05	-0.070471956	0.000827491765591886	-5.83149632951537E-05	-0.05759406	0.102622242159825	-0.00591043157228748	
-0.062746288	0.000883692797874162	-5.5448442798938E-05	-0.06274996	0.00084616992774434	-5.30971291191603E-05	-0.063110972	0.000827703445591886	-5.22371689790531E-05	-0.05277233	0.102599922159825	-0.00541443695019259	
-0.055301238	0.000883651677874162	-4.88670317472184E-05	-0.055306674	0.00084611288774434	-4.67956896496748E-05	-0.055742454	0.000828084365591887	-4.61594546571249E-05	-0.047958372	0.102603942159825	-0.00492071802676737	
-0.047863056	0.000883482397874162	-4.22861674844653E-05	-0.047870446	0.00084576484774434	-4.04871404726437E-05	-0.048374938	0.000828294665591886	-4.00687030937382E-05	-0.04313607	0.102592702159825	-0.00442544598185536	
-0.040431452	0.000883353217874162	-3.57152532275247E-05	-0.040440274	0.00084595190774434	-3.42105269400038E-05	-0.041014146	0.000828486945591887	-3.39796845455997E-05	-0.038301896	0.102582402159825	-0.00392910049895579	
-0.03299265	0.000883063497874162	-2.9134604913138E-05	-0.033003378	0.00084644192774434	-2.79354428963951E-05	-0.033652688	0.000828558605591886	-2.78832242436988E-05	-0.033496092	0.102568282159825	-0.00343563661550745	
-0.025554038	0.000882787537874162	-2.25587862887628E-05	-0.02556672	0.00084665118774434	-2.1646093854727E-05	-0.026283838	0.000828504965591886	-2.17762902978127E-05	-0.028838872	0.102560262159825	-0.00295772227271363	
-0.0181221968	0.000882705117874162	-1.59965558624828E-05	-0.0181368342	0.00084675368774434	-1.53574312428577E-05	-0.0189223308	0.000828209685591886	-1.56716576425337E-05	-0.024409628	0.102557022159825	-0.00250337875970908	
-0.0107216354	0.000882698277874162	-9.46396910357465E-06	-0.0107289776	0.00084700118774434	-9.08745677048242E-06	-0.0115823758	0.000828116225591886	-9.59155333088281E-06	-0.020334102	0.102575322159825	-0.00208577706348074	
-0.0033142574	0.000882518437874162	-2.92489326336088E-06	-0.0033158776	0.00084697370774434	-2.8084611452984E-06	-0.0042363658	0.000828090045591886	-3.50809234846591E-06	-0.016831018	0.102572262159825	-0.00172639559071273	
0.0041000366	0.000882168677874162	3.61692386665768E-06	0.0041049004	0.00084688344774434	3.47637220339912E-06	0.0031090262	0.000828018425591886	2.57433097924793E-06	-0.013968565	0.102562522159825	-0.00143265125735345	
0.0115002626	0.000882149637874162	1.01449524880478E-05	0.0115114204	0.00084679768774434	9.74784417737303E-06	0.0104471222	0.000828067305591886	8.65092033134318E-06	-0.0116100808	0.102561202159825	-0.0011907438440207	
0.0189068314	0.000882254457874162	1.66806362869252E-05	0.0189244266	0.00084655032774434	1.60204795406037E-05	0.017791559	0.000828275645591886	1.47363150168111E-05	-0.009722091	0.102553762159825	-0.000997037008110174	
0.026351166	0.000882215297874162	2.32474017620215E-05	0.02636671	0.00084627134774434	2.23133912072842E-05	0.025158264	0.000828303445591886	2.08386767563103E-05	-0.0081997402	0.102548242159825	-0.000840868943677251	
0.033781816	0.000882206037874162	2.9802522045554E-05	0.03379612	0.00084620954774434	2.85985994207135E-05	0.032517864	0.000828013905591886	2.69252435721458E-05	-0.006783104	0.102560262159825	-0.000695676924497357	
0.041212226	0.000882311457874162	3.63620192042995E-05	0.04122491	0.00084621444774434	3.48851144489601E-05	0.039885092	0.000827805805591886	3.30171107141665E-05	-0.005476904	0.102608142159825	-0.000561974944227714	
0.048647644	0.000882268617874162	4.29202896347143E-05	0.048658992	0.00084633918774434	4.11820117657384E-05	0.047251796	0.000827532805591886	3.91024113131355E-05	-0.0014068602	0.102640182159825	-0.000144400387201408	
0.056083776	0.000882258377874162	4.94803812388179E-05	0.056093598	0.00084650952774434	4.74837651524609E-05	0.054611872	0.000827289825591886	4.51798460621264E-05	0.003590346	0.102648942159825	0.000368545218887759	
0.063513184	0.000882275237874162	5.60361095217454E-05	0.063521386	0.00084670814774434	5.37840750822133E-05	0.06197767	0.000827109425591886	5.12623150332235E-05	0.0095947752	0.102653522159825	0.000984937468611738	
0.07094922	0.000882292517874162	6.25979659550079E-05	0.070955562	0.00084681166774434	6.00859977929569E-05	0.069344042	0.000827252665591886	5.73650435874157E-05	0.016446687	0.102659442159825	0.00168840771279724	
0.078385924	0.000882396557874162	6.91674695233857E-05	0.078390406	0.00084677360774434	6.63789269011636E-05	0.076703214	0.000827463185591886	6.34690858015762E-05	0.024252464	0.102632362159825	0.00248908766851612	
0.085830252	0.000882461197874162	7.57418669937612E-05	0.085832978	0.00084670804774434	7.26754732344629E-05	0.084076166	0.000827722405591886	6.95917263744628E-05	0.029736138	0.102616142159825	0.00305140776429217	
0.093261034	0.000882218637874162	8.22766223822159E-05	0.093262148	0.00084672778774434	7.89676522563253E-05	0.091443296	0.000827955605591886	7.57109895169981E-05	0.034713174	0.102615202159825	0.00356209936761918	
0.10069827	0.000882053737874162	8.88212854509616E-05	0.10069743	0.00084665792774434	8.52562774129808E-05	0.098803466	0.000828130965591886	8.18222097024051E-05	0.03910618	0.102607182159825	0.0040125749348349	
0.108142224	0.000881815457874162	9.53614847720902E-05	0.108140008	0.00084654974774434	9.15458964934709E-05	0.106163692	0.000827847045591886	8.7887298771327E-05	0.043069268	0.102589622159825	0.00441845993082024	
0.1155722	0.000881512897874162	0.000101878384935692	0.11556904	0.00084661830774434	9.7842865072438E-05	0.11353798	0.000827569285591886	9.39605449961459E-05	0.046554088	0.102573222159825	0.00477520281087204	
0.12300294	0.000881415337874162	0.000108416677919615	0.12299888	0.00084680838774434	0.00010415648326716	0.12089248	0.000827277185591886	0.000100011590613623	0.05000143	0.102549582159825	0.00512762575389373	
0.1304471	0.000881253197874162	0.000114956924028411	0.13044274	0.00084687376774434	0.000110468534698695	0.12825362	0.000826952985591886	0.000106059713971967	0.053432654	0.102536222159825	0.00547878248113306	
0.13789096	0.000881155637874162	0.000121503396815881	0.13788712	0.00084686812774434	0.000116772207154459	0.13562968	0.000826807665591886	0.000112139659105775	0.056981656	0.102538122159825	0.00584279200379712	
0.14532118	0.000881173097874162	0.000128053114367329	0.14531804	0.00084691976774434	0.000123072720685863	0.14300572	0.000827049025591886	0.000118272741380066	0.060687206	0.102547862159825	0.0062233432357529	
0.1527648	0.000881211617874162	0.000134618116562223	0.15276208	0.00084678638774434	0.000129356849907512	0.15036132	0.000827308065591886	0.000124395132789043	0.064626598	0.102564262159825	0.00662837933976962	
0.16020852	0.000881150017874162	0.000141167740261593	0.16020688	0.00084662210774434	0.000135634686420745	0.15773718	0.000827540805591886	0.000130533953008992	0.068797064	0.102590582159825	0.00705793084664673	
0.1676519	0.000881228277874162	0.000147739595119331	0.16765084	0.00084658192774434	0.000141930171315158	0.16511346	0.000827799485591887	0.000136680837252297	0.073215914	0.102602022159825	0.00751210083067983	
0.17508106	0.000881257857874162	0.000154291559889938	0.17508134	0.00084654072774434	0.000148213484978054	0.1724762	0.000827961285591886	0.000142803616286003	0.077765132	0.102587542159825	0.00797773375761435	
0.18252416	0.000881354437874162	0.000160868478435254	0.18252568	0.00084665998774434	0.000154537189991827	0.17984548	0.000828131565591886	0.000148935718917024	0.082350016	0.102571902159825	0.00844679778401202	
0.18996578	0.000881582477874162	0.000167470503043698	0.18996906	0.00084687262774434	0.000160879597032322	0.18722172	0.000828147025591886	0.000155047110544197	0.086989164	0.102574182159825	0.00892284235406688	
0.19739348	0.000881635517874162	0.000174029102964783	0.19739818	0.00084676858774434	0.000167150578101903	0.19458266	0.000828089325591886	0.000161131823691275	0.091616444	0.102561402159825	0.00939631095753708	
0.20482136	0.000881615317874162	0.000180573648403818	0.20482744	0.00084670976774434	0.000173429394150068	0.20195018	0.000827937285591886	0.000167202083853993	0.09622025	0.102560262159825	0.00986837406508389	
0.21225712	0.000881392177874162	0.000187081765266097	0.21226396	0.00084668386774434	0.00017972047063553	0.20931794	0.000827699205591887	0.00017325229265413	0.100815096	0.102566742159825	0.01034027595725	
